step,iteration,ep,ep_len,reward,loss,pg_loss,vf_loss,entropy,kl,explained_var,clip_frac,lr,fps,n_dyn_imaged_ep,n_dyn_detected_ep,battery_end_pct
13824,48,33,422,68.9115,0.08634,-0.00876,0.05284,-0.0571,0.000799,0.0681,0.00859,0.00025,2,52,52,100.0
14112,49,33,422,68.9115,0.06638,-0.00913,0.05179,-0.102,0.002089,-0.0527,0.0158,0.00025,3,52,52,100.0
14400,50,34,373,108.821,0.14299,-0.00842,0.12656,-0.1314,0.00136,0.0482,0.01276,0.00025,3,46,46,100.0
14688,51,35,473,115.1711,0.12613,-0.01287,0.09452,-0.1097,0.00259,-0.1529,0.02083,0.00025,3,53,53,100.0
14976,52,35,473,115.1711,0.10275,-0.00968,0.10073,-0.1381,0.002419,-0.3126,0.02795,0.00025,1,53,53,100.0
15264,53,36,1,-4.0,0.11386,-0.01115,0.06367,-0.1134,0.002647,-0.0572,0.02283,0.00025,2,45,45,100.0
15552,54,37,401,119.9459,0.29303,-0.0099,0.11509,-0.1255,0.002261,-0.0939,0.0191,0.00025,2,46,46,100.0
15840,55,38,317,96.6161,0.01588,-0.0035,0.02382,-0.0392,0.002374,-0.2635,0.00816,0.00025,2,30,30,100.0
16128,56,38,317,96.6161,0.11261,-0.01008,0.06674,-0.1481,0.003797,0.0281,0.03194,0.00025,1,30,30,100.0
16416,57,39,406,67.8476,0.01429,-0.00154,0.00987,-0.0212,0.000415,-0.1222,0.00451,0.00025,2,49,49,96.3
16704,58,40,1,-4.0,0.12564,-0.01242,0.08764,-0.0776,0.001804,-0.022,0.01953,0.00025,2,48,50,98.4
16992,59,41,376,73.9894,0.04442,-0.0032,0.02704,-0.0441,0.001035,-0.1562,0.01719,0.00025,2,38,38,95.7
17280,60,41,376,73.9894,0.15955,-0.00928,0.0731,-0.0921,0.001415,0.0662,0.01719,0.00025,2,38,38,95.7
17568,61,42,379,82.9057,0.15115,-0.01019,0.07784,-0.0695,0.001199,0.0457,0.01363,0.00025,2,45,45,94.6
17856,62,43,379,55.1192,0.02085,-0.00053,0.01463,-0.0144,0.000822,-0.5198,0.00686,0.00025,3,42,43,100.0
18144,63,44,451,131.5999,0.06401,-0.00447,0.02891,-0.0443,0.000742,0.0318,0.01424,0.00025,2,53,53,99.9
18432,64,44,451,131.5999,0.14596,-0.00971,0.07135,-0.0719,0.00158,0.0232,0.01745,0.00025,2,53,53,99.9
18720,65,45,367,49.9815,0.01466,-0.00225,0.00996,-0.0166,0.00045,0.0953,0.00903,0.00025,2,40,40,100.0
19008,66,46,503,136.7057,0.19127,-0.00736,0.06712,-0.0804,0.001255,0.0899,0.01519,0.00025,2,56,57,100.0
19296,67,46,503,136.7057,0.06145,-0.01007,0.05044,-0.0802,0.001441,-0.0286,0.01363,0.00025,2,56,57,100.0
19584,68,47,457,117.4133,0.1469,-0.00642,0.10625,-0.1068,0.001709,-0.0947,0.01319,0.00025,3,43,43,93.4
19872,69,48,1,-4.0,0.13403,-0.00939,0.07666,-0.1414,0.003192,0.0386,0.03845,0.00025,2,55,55,98.7
20160,70,48,1,-4.0,0.2068,-0.00759,0.10282,-0.0946,0.001272,-0.1316,0.01589,0.00025,2,55,55,98.7
20448,71,49,1,-4.0,0.04648,-0.00664,0.02911,-0.0467,0.001564,-0.2197,0.01094,0.00025,2,51,51,98.0
20736,72,50,1,-4.0,0.24585,-0.00869,0.08642,-0.0761,0.000796,-0.0248,0.0105,0.00025,2,44,45,100.0
21024,73,51,330,119.4352,0.08824,-0.00934,0.05561,-0.0513,0.0016,-0.1114,0.01302,0.00025,3,48,48,100.0
21312,74,52,1,-4.0,0.21659,-0.00875,0.09955,-0.1142,0.001449,0.0687,0.01615,0.00025,3,38,38,99.3
