step,iteration,ep,ep_len,reward,loss,pg_loss,vf_loss,entropy,kl,explained_var,clip_frac,lr,fps,n_dyn_imaged_ep,n_dyn_detected_ep,battery_end_pct
14112,7,69,331,53.1702,0.08862,-0.00722,0.03895,-0.0539,0.000728,-0.0983,0.00972,0.00025,1,29,29,97.7
14400,8,69,331,53.1702,0.01065,-0.01101,0.02425,-0.0574,0.001846,-0.1089,0.0138,0.00025,2,29,29,97.7
14688,9,71,1,-4.0,0.06189,-0.01302,0.04848,-0.0821,0.004967,-0.1399,0.025,0.00025,1,22,22,99.8
14976,10,72,1,-4.0,0.18727,-0.00815,0.06517,-0.0982,0.001748,0.0462,0.02014,0.00025,1,20,20,100.0
15264,11,73,292,93.1026,0.04073,-0.00713,0.04232,-0.0812,0.001986,0.2186,0.01858,0.00025,2,23,23,100.0
15552,12,74,243,29.8905,0.07577,-0.00716,0.05512,-0.0621,0.001277,-0.1063,0.01163,0.00025,1,26,26,97.7
15840,13,75,319,55.4075,0.01356,-0.00769,0.03478,-0.052,0.001195,0.1204,0.01198,0.00025,2,27,27,100.0
16128,14,75,319,55.4075,0.02077,-0.00631,0.0152,-0.0265,0.00178,0.3024,0.00885,0.00025,2,27,27,100.0
16416,15,76,317,67.0269,0.07053,-0.00765,0.04069,-0.0689,0.001059,0.1413,0.01293,0.00025,2,35,35,100.0
16704,16,78,239,28.825,0.05282,-0.00603,0.03285,-0.0422,0.001237,0.3118,0.0072,0.00025,1,25,25,100.0
16992,17,79,1,-4.0,0.11501,-0.00727,0.05024,-0.0549,0.001565,0.1155,0.01241,0.00025,2,19,19,94.6
17280,18,80,1,-4.0,0.04384,-0.00626,0.0496,-0.0385,0.001317,0.0822,0.00781,0.00025,2,21,21,100.0
17568,19,81,296,26.2399,0.06338,-0.00901,0.0425,-0.0503,0.001173,0.2312,0.01233,0.00025,1,22,23,99.2
17856,20,82,251,29.6164,0.03255,-0.00726,0.01554,-0.0445,0.001051,0.5213,0.01207,0.00025,2,26,26,100.0
18144,21,83,284,60.6743,0.17862,-0.00663,0.06151,-0.0525,0.001097,0.1788,0.0072,0.00025,2,21,22,100.0
18432,22,84,244,28.5602,0.02747,-0.00428,0.0217,-0.0277,0.000829,0.1726,0.00564,0.00025,2,22,22,100.0
18720,23,85,243,20.8271,0.09565,-0.00778,0.04703,-0.0587,0.002044,0.3357,0.01606,0.00025,2,19,20,76.3
19008,24,86,1,-4.0,0.11234,-0.00722,0.05871,-0.0527,0.001273,0.0582,0.01059,0.00025,1,22,22,99.3
19296,25,87,225,16.603,0.17179,-0.0075,0.08398,-0.0939,0.001808,0.0621,0.01762,0.00025,3,19,19,100.0
19584,26,88,308,75.332,0.10865,-0.00901,0.05784,-0.0576,0.001509,-0.1337,0.01389,0.00025,2,21,21,100.0
19872,27,89,311,45.8248,0.07467,-0.01008,0.06037,-0.0723,0.002332,0.055,0.01988,0.00025,2,27,27,100.0
20160,28,90,1,-4.0,0.06182,-0.00595,0.04106,-0.0506,0.003743,-0.2636,0.01918,0.00025,3,19,20,88.0
20448,29,91,290,28.3607,0.08322,-0.0067,0.04475,-0.0713,0.001313,-0.118,0.01094,0.00025,2,23,23,99.6
20736,30,92,391,40.7793,0.14238,-0.00969,0.09993,-0.0995,0.00265,0.1333,0.01892,0.00025,3,29,30,100.0
21024,31,93,282,16.2199,0.00799,-0.00414,0.0127,-0.0355,0.00129,-0.7538,0.00877,0.00025,2,19,19,100.0
21312,32,93,282,16.2199,0.16602,-0.0074,0.06019,-0.0706,0.001008,0.0554,0.01259,0.00025,2,19,19,100.0
21600,33,94,343,37.0579,0.0633,-0.00833,0.05205,-0.0382,0.002253,-0.0261,0.01163,0.00025,2,32,32,100.0
21888,34,95,353,92.591,0.04374,-0.00534,0.0315,-0.0385,0.001802,0.1095,0.00903,0.00025,1,26,27,100.0
22176,35,96,250,20.3592,0.1417,-0.00892,0.08379,-0.0897,0.001633,0.0448,0.01615,0.00025,1,18,18,100.0
22464,36,97,279,66.4349,0.05008,-0.00919,0.05796,-0.0528,0.001794,-0.2282,0.0151,0.00025,2,19,19,88.0
22752,37,98,346,106.7972,0.13196,-0.00698,0.07016,-0.0585,0.000886,-0.0133,0.00877,0.00025,1,35,35,100.0
23040,38,99,326,78.219,0.07629,-0.00889,0.05289,-0.0514,0.001533,0.0857,0.01224,0.00025,2,22,22,96.9
23328,39,100,403,99.342,0.15478,-0.01006,0.08834,-0.0789,0.001355,-0.0973,0.01788,0.00025,2,30,30,100.0
23616,40,100,403,99.342,0.06953,-0.00792,0.05134,-0.0499,0.000926,0.0067,0.01076,0.00025,1,30,30,100.0
23904,41,101,353,96.8056,0.06911,-0.00518,0.04169,-0.0219,0.000959,-0.064,0.00634,0.00025,2,27,27,100.0
24192,42,102,363,54.0486,0.078,-0.00702,0.05032,-0.0316,0.001381,0.008,0.00807,0.00025,2,38,40,100.0
24480,43,103,338,101.0598,0.05059,-0.00569,0.02619,-0.0469,0.001761,0.0884,0.01337,0.00025,2,34,34,99.7
24768,44,104,299,85.4507,0.05774,-0.00578,0.02888,-0.0288,0.000762,-0.1697,0.00842,0.00025,1,24,25,99.8
25056,45,105,249,34.7176,0.0696,-0.00755,0.0484,-0.0497,0.001396,0.1033,0.01441,0.00025,2,29,29,100.0
25344,46,106,281,26.1379,0.21439,-0.00685,0.08647,-0.0664,0.001195,0.1598,0.01033,0.00025,2,21,21,100.0
25632,47,107,270,21.5196,0.08338,-0.00737,0.04389,-0.0317,0.001386,0.1305,0.00981,0.00025,1,19,19,92.9
25920,48,108,1,-4.0,0.01038,-0.0026,0.01158,-0.0096,0.000133,0.3248,0.00122,0.00025,1,22,22,93.4
26208,49,109,294,33.4192,0.0654,-0.00696,0.03644,-0.0326,0.000902,0.2297,0.00677,0.00025,1,26,26,100.0
26496,50,110,391,76.1664,0.02606,-0.00357,0.01526,-0.016,0.00099,0.3401,0.00642,0.00025,2,30,31,100.0
26784,51,111,264,27.9612,0.05163,-0.0062,0.03115,-0.0345,0.001539,0.0569,0.00868,0.00025,3,23,25,100.0
27072,52,112,327,28.0403,0.07071,-0.00454,0.04957,-0.0445,0.001051,0.0017,0.00929,0.00025,2,25,25,100.0
