time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,sigma0,sigma1,sigma2,cx,cy,cz,battery_pct,action_name,action_idx
8071.0,1716379.456,4466278.674,5185516.232,3396.423,4481.979,-4982.865,-0.400201,0.670646,-0.048909,0.470109,-0.101561,-0.876746,99.51,Giza,35
8072.0,1719768.336,4470740.731,5180509.493,3394.465,4476.903,-4988.728,-0.400301,0.671078,-0.049366,0.469119,-0.102767,-0.877135,99.51,Giza,35
8073.0,1723157.215,4475202.787,5175502.754,3392.507,4471.827,-4994.590,-0.400401,0.671510,-0.049824,0.468128,-0.103972,-0.877523,99.51,Giza,35
8074.0,1726546.095,4479664.844,5170496.016,3390.549,4466.752,-5000.453,-0.400501,0.671942,-0.050281,0.467136,-0.105176,-0.877908,99.51,Giza,35
8075.0,1729934.974,4484126.901,5165489.277,3388.591,4461.676,-5006.315,-0.400601,0.672373,-0.050738,0.466143,-0.106381,-0.878291,99.51,Giza,35
8076.0,1733323.854,4488588.958,5160482.538,3386.633,4456.600,-5012.178,-0.400701,0.672805,-0.051195,0.465148,-0.107585,-0.878671,99.51,Giza,35
8077.0,1736712.733,4493051.015,5155475.799,3384.675,4451.524,-5018.041,-0.400801,0.673237,-0.051653,0.464152,-0.108789,-0.879049,99.51,Giza,35
8078.0,1740101.612,4497513.072,5150469.060,3382.716,4446.448,-5023.903,-0.400901,0.673668,-0.052110,0.463155,-0.109992,-0.879425,99.51,Giza,35
8079.0,1743490.492,4501975.129,5145462.322,3380.758,4441.372,-5029.766,-0.401001,0.674100,-0.052567,0.462157,-0.111196,-0.879799,99.51,Giza,35
8080.0,1746879.371,4506437.186,5140455.583,3378.800,4436.296,-5035.629,-0.401101,0.674532,-0.053025,0.461158,-0.112399,-0.880170,99.51,Giza,35
8081.0,1750268.251,4510899.242,5135448.844,3376.842,4431.220,-5041.491,-0.401201,0.674964,-0.053482,0.460157,-0.113601,-0.880540,99.51,Giza,35
8082.0,1753657.130,4515361.299,5130442.105,3374.884,4426.145,-5047.354,-0.401301,0.675395,-0.053939,0.459156,-0.114804,-0.880906,99.51,Giza,35
8083.0,1757046.009,4519823.356,5125435.367,3372.926,4421.069,-5053.216,-0.401401,0.675827,-0.054396,0.458153,-0.116006,-0.881271,99.51,Giza,35
8084.0,1760434.889,4524285.413,5120428.628,3370.968,4415.993,-5059.079,-0.401501,0.676259,-0.054854,0.457149,-0.117207,-0.881633,99.51,Giza,35
8085.0,1763823.768,4528747.470,5115421.889,3369.010,4410.917,-5064.942,-0.401601,0.676690,-0.055311,0.456144,-0.118409,-0.881993,99.51,Giza,35
8086.0,1767212.648,4533209.527,5110415.150,3367.052,4405.841,-5070.804,-0.401701,0.677122,-0.055768,0.455138,-0.119610,-0.882351,99.51,Giza,35
8087.0,1770601.527,4537671.584,5105408.412,3365.094,4400.765,-5076.667,-0.401801,0.677554,-0.056225,0.454131,-0.120810,-0.882706,99.51,Giza,35
8088.0,1773990.406,4542133.640,5100401.673,3363.135,4395.689,-5082.530,-0.401901,0.677986,-0.056683,0.453122,-0.122010,-0.883059,99.51,Giza,35
8089.0,1777379.286,4546595.697,5095394.934,3361.177,4390.613,-5088.392,-0.402001,0.678417,-0.057140,0.452113,-0.123210,-0.883410,99.51,Giza,35
8090.0,1780768.165,4551057.754,5090388.195,3359.219,4385.538,-5094.255,-0.402101,0.678849,-0.057597,0.451102,-0.124409,-0.883759,99.51,Giza,35
8091.0,1784096.580,4555365.273,5085208.148,3357.147,4380.312,-5099.945,-0.402203,0.679332,-0.058143,0.449971,-0.125794,-0.884139,99.51,Giza,35
8092.0,1787424.994,4559672.793,5080028.100,3355.074,4375.086,-5105.635,-0.402304,0.679816,-0.058690,0.448839,-0.127179,-0.884516,99.51,Giza,35
8093.0,1790753.409,4563980.312,5074848.053,3353.002,4369.860,-5111.326,-0.402406,0.680299,-0.059236,0.447705,-0.128563,-0.884891,99.51,Giza,35
8094.0,1794081.823,4568287.831,5069668.005,3350.929,4364.634,-5117.016,-0.402508,0.680783,-0.059782,0.446570,-0.129947,-0.885262,99.51,Giza,35
8095.0,1797410.238,4572595.350,5064487.958,3348.856,4359.409,-5122.706,-0.402609,0.681266,-0.060328,0.445433,-0.131331,-0.885631,99.51,Giza,35
8096.0,1800738.652,4576902.869,5059307.910,3346.784,4354.183,-5128.397,-0.402711,0.681749,-0.060874,0.444294,-0.132714,-0.885996,99.51,Giza,35
8097.0,1804067.067,4581210.388,5054127.862,3344.711,4348.957,-5134.087,-0.402812,0.682233,-0.061420,0.443154,-0.134097,-0.886359,99.51,Giza,35
8098.0,1807395.481,4585517.908,5048947.815,3342.639,4343.731,-5139.777,-0.402914,0.682716,-0.061966,0.442012,-0.135480,-0.886719,99.51,Giza,35
8099.0,1810723.896,4589825.427,5043767.767,3340.566,4338.506,-5145.467,-0.403016,0.683199,-0.062513,0.440869,-0.136862,-0.887076,99.51,Giza,35
8100.0,1814052.311,4594132.946,5038587.720,3338.494,4333.280,-5151.158,-0.403117,0.683683,-0.063059,0.439724,-0.138244,-0.887430,99.51,Giza,35
8101.0,1817380.725,4598440.465,5033407.672,3336.421,4328.054,-5156.848,-0.403219,0.684166,-0.063605,0.438578,-0.139626,-0.887781,99.51,Giza,35
8102.0,1820709.140,4602747.984,5028227.625,3334.349,4322.828,-5162.538,-0.403320,0.684650,-0.064151,0.437430,-0.141007,-0.888129,99.51,Giza,35
8103.0,1824037.554,4607055.503,5023047.577,3332.276,4317.602,-5168.229,-0.403422,0.685133,-0.064697,0.436280,-0.142387,-0.888474,99.51,Giza,35
8104.0,1827365.969,4611363.023,5017867.530,3330.203,4312.377,-5173.919,-0.403524,0.685616,-0.065243,0.435130,-0.143767,-0.888816,99.51,Giza,35
8105.0,1830694.383,4615670.542,5012687.482,3328.131,4307.151,-5179.609,-0.403625,0.686100,-0.065789,0.433977,-0.145147,-0.889155,99.51,Giza,35
8106.0,1834022.798,4619978.061,5007507.435,3326.058,4301.925,-5185.300,-0.403727,0.686583,-0.066336,0.432824,-0.146526,-0.889491,99.51,Giza,35
8107.0,1837351.212,4624285.580,5002327.387,3323.986,4296.699,-5190.990,-0.403828,0.687067,-0.066882,0.431669,-0.147905,-0.889824,99.51,Giza,35
8108.0,1840679.627,4628593.099,4997147.340,3321.913,4291.474,-5196.680,-0.403930,0.687550,-0.067428,0.430512,-0.149283,-0.890154,99.51,Giza,35
8109.0,1844008.041,4632900.618,4991967.292,3319.841,4286.248,-5202.370,-0.404031,0.688033,-0.067974,0.429354,-0.150660,-0.890481,99.51,Giza,35
8110.0,1847336.456,4637208.138,4986787.245,3317.768,4281.022,-5208.061,-0.404133,0.688517,-0.068520,0.428195,-0.152037,-0.890805,99.51,Giza,35
8111.0,1850664.870,4641515.657,4981607.197,3315.696,4275.796,-5213.751,-0.404235,0.689000,-0.069066,0.427034,-0.153414,-0.891126,99.51,Giza,35
8112.0,1853993.285,4645823.176,4976427.150,3313.623,4270.570,-5219.441,-0.404336,0.689483,-0.069613,0.425872,-0.154790,-0.891445,99.51,Giza,35
8113.0,1857321.699,4650130.695,4971247.102,3311.550,4265.345,-5225.132,-0.404438,0.689967,-0.070159,0.424708,-0.156165,-0.891760,99.51,Giza,35
8114.0,1860650.114,4654438.214,4966067.054,3309.478,4260.119,-5230.822,-0.404539,0.690450,-0.070705,0.423543,-0.157540,-0.892072,99.51,Giza,35
8115.0,1863978.528,4658745.733,4960887.007,3307.405,4254.893,-5236.512,-0.404641,0.690934,-0.071251,0.422377,-0.158914,-0.892381,99.51,Giza,35
8116.0,1867306.943,4663053.253,4955706.959,3305.333,4249.667,-5242.202,-0.404743,0.691417,-0.071797,0.421209,-0.160287,-0.892687,99.51,Giza,35
8117.0,1870635.358,4667360.772,4950526.912,3303.260,4244.442,-5247.893,-0.404844,0.691900,-0.072343,0.420041,-0.161660,-0.892990,99.51,Giza,35
8118.0,1873963.772,4671668.291,4945346.864,3301.188,4239.216,-5253.583,-0.404946,0.692384,-0.072889,0.418870,-0.163032,-0.893291,99.51,Giza,35
8119.0,1877292.187,4675975.810,4940166.817,3299.115,4233.990,-5259.273,-0.405047,0.692867,-0.073436,0.417699,-0.164404,-0.893588,99.51,Giza,35
8120.0,1880620.601,4680283.329,4934986.769,3297.043,4228.764,-5264.964,-0.405149,0.693351,-0.073982,0.416526,-0.165775,-0.893882,99.51,Giza,35
8121.0,1883885.148,4684431.892,4929638.672,3294.858,4223.394,-5270.476,-0.405251,0.693901,-0.074648,0.415189,-0.167389,-0.894203,99.51,Giza,35
8122.0,1887149.695,4688580.455,4924290.574,3292.673,4218.023,-5275.988,-0.405353,0.694450,-0.075315,0.413849,-0.169002,-0.894521,99.51,Giza,35
8123.0,1890414.241,4692729.018,4918942.477,3290.488,4212.653,-5281.500,-0.405456,0.695000,-0.075982,0.412508,-0.170614,-0.894834,99.51,Giza,35
8124.0,1893678.788,4696877.581,4913594.379,3288.303,4207.283,-5287.012,-0.405558,0.695550,-0.076648,0.411164,-0.172226,-0.895144,99.51,Giza,35
8125.0,1896943.335,4701026.144,4908246.282,3286.118,4201.912,-5292.524,-0.405660,0.696100,-0.077315,0.409819,-0.173838,-0.895449,99.51,Giza,35
8126.0,1900207.882,4705174.707,4902898.184,3283.933,4196.542,-5298.036,-0.405763,0.696650,-0.077981,0.408471,-0.175448,-0.895751,99.51,Giza,35
8127.0,1903472.429,4709323.270,4897550.087,3281.748,4191.171,-5303.548,-0.405865,0.697200,-0.078648,0.407122,-0.177059,-0.896048,99.51,Giza,35
8128.0,1906736.975,4713471.833,4892201.989,3279.563,4185.801,-5309.060,-0.405967,0.697750,-0.079315,0.405771,-0.178668,-0.896341,99.51,Giza,35
8129.0,1910001.522,4717620.396,4886853.892,3277.378,4180.431,-5314.572,-0.406069,0.698300,-0.079981,0.404417,-0.180277,-0.896631,99.51,Giza,35
8130.0,1913266.069,4721768.959,4881505.794,3275.193,4175.060,-5320.084,-0.406172,0.698850,-0.080648,0.403062,-0.181885,-0.896916,99.51,Giza,35
8131.0,1916530.616,4725917.522,4876157.697,3273.008,4169.690,-5325.596,-0.406274,0.699400,-0.081314,0.401705,-0.183492,-0.897198,99.51,Giza,35
8132.0,1919795.162,4730066.086,4870809.599,3270.823,4164.319,-5331.109,-0.406376,0.699950,-0.081981,0.400346,-0.185098,-0.897475,99.51,Giza,35
8133.0,1923059.709,4734214.649,4865461.502,3268.638,4158.949,-5336.621,-0.406479,0.700500,-0.082648,0.398986,-0.186704,-0.897748,99.51,Giza,35
8134.0,1926324.256,4738363.212,4860113.404,3266.453,4153.579,-5342.133,-0.406581,0.701050,-0.083314,0.397623,-0.188309,-0.898018,99.51,Giza,35
8135.0,1929588.803,4742511.775,4854765.307,3264.268,4148.208,-5347.645,-0.406683,0.701600,-0.083981,0.396259,-0.189913,-0.898283,99.51,Giza,35
8136.0,1932853.349,4746660.338,4849417.209,3262.084,4142.838,-5353.157,-0.406785,0.702150,-0.084647,0.394893,-0.191516,-0.898544,99.50,Giza,35
8137.0,1936117.896,4750808.901,4844069.112,3259.899,4137.467,-5358.669,-0.406888,0.702700,-0.085314,0.393525,-0.193118,-0.898801,99.50,Giza,35
8138.0,1939382.443,4754957.464,4838721.014,3257.714,4132.097,-5364.181,-0.406990,0.703250,-0.085981,0.392155,-0.194720,-0.899054,99.50,Giza,35
8139.0,1942646.990,4759106.027,4833372.916,3255.529,4126.727,-5369.693,-0.407092,0.703800,-0.086647,0.390784,-0.196320,-0.899303,99.50,Giza,35
8140.0,1945911.536,4763254.590,4828024.819,3253.344,4121.356,-5375.205,-0.407195,0.704350,-0.087314,0.389411,-0.197920,-0.899548,99.50,Giza,35
8141.0,1949176.083,4767403.153,4822676.721,3251.159,4115.986,-5380.717,-0.407297,0.704900,-0.087980,0.388036,-0.199518,-0.899789,99.50,Giza,35
8142.0,1952440.630,4771551.716,4817328.624,3248.974,4110.615,-5386.229,-0.407399,0.705450,-0.088647,0.386660,-0.201116,-0.900026,99.50,Giza,35
8143.0,1955705.177,4775700.279,4811980.526,3246.789,4105.245,-5391.741,-0.407501,0.706000,-0.089314,0.385282,-0.202712,-0.900259,99.50,Giza,35
8144.0,1958969.723,4779848.842,4806632.429,3244.604,4099.874,-5397.253,-0.407604,0.706550,-0.089980,0.383902,-0.204308,-0.900487,99.50,Giza,35
8145.0,1962234.270,4783997.405,4801284.331,3242.419,4094.504,-5402.765,-0.407706,0.707100,-0.090647,0.382521,-0.205903,-0.900712,99.50,Giza,35
8146.0,1965498.817,4788145.968,4795936.234,3240.234,4089.134,-5408.278,-0.407808,0.707650,-0.091313,0.381138,-0.207496,-0.900933,99.50,Giza,35
8147.0,1968763.364,4792294.531,4790588.136,3238.049,4083.763,-5413.790,-0.407911,0.708200,-0.091980,0.379753,-0.209088,-0.901149,99.50,Giza,35
8148.0,1972027.911,4796443.094,4785240.039,3235.864,4078.393,-5419.302,-0.408013,0.708750,-0.092647,0.378367,-0.210680,-0.901362,99.50,Giza,35
8149.0,1975292.457,4800591.657,4779891.941,3233.679,4073.022,-5424.814,-0.408115,0.709300,-0.093313,0.376979,-0.212270,-0.901570,99.50,Giza,35
8150.0,1978557.004,4804740.220,4774543.844,3231.494,4067.652,-5430.326,-0.408217,0.709850,-0.093980,0.375590,-0.213859,-0.901774,99.50,Giza,35
8151.0,1981754.344,4808725.569,4769033.129,3229.199,4062.142,-5435.654,-0.408318,0.710487,-0.094814,0.373971,-0.215770,-0.901992,99.50,Giza,35
8152.0,1984951.684,4812710.918,4763522.414,3226.904,4056.633,-5440.982,-0.408419,0.711123,-0.095648,0.372349,-0.217680,-0.902204,99.50,Giza,35
8153.0,1988149.024,4816696.267,4758011.699,3224.609,4051.123,-5446.310,-0.408520,0.711760,-0.096483,0.370725,-0.219589,-0.902410,99.50,Giza,35
8154.0,1991346.364,4820681.616,4752500.985,3222.314,4045.614,-5451.638,-0.408620,0.712397,-0.097317,0.369097,-0.221497,-0.902611,99.50,Giza,35
8155.0,1994543.704,4824666.965,4746990.270,3220.019,4040.104,-5456.967,-0.408721,0.713034,-0.098151,0.367468,-0.223403,-0.902806,99.50,Giza,35
8156.0,1997741.044,4828652.314,4741479.555,3217.724,4034.594,-5462.295,-0.408822,0.713671,-0.098985,0.365836,-0.225309,-0.902995,99.50,Giza,35
8157.0,2000938.384,4832637.663,4735968.840,3215.428,4029.085,-5467.623,-0.408923,0.714308,-0.099820,0.364201,-0.227213,-0.903179,99.50,Giza,35
8158.0,2004135.724,4836623.012,4730458.126,3213.133,4023.575,-5472.951,-0.409023,0.714945,-0.100654,0.362564,-0.229116,-0.903357,99.50,Giza,35
8159.0,2007333.064,4840608.361,4724947.411,3210.838,4018.066,-5478.279,-0.409124,0.715582,-0.101488,0.360924,-0.231018,-0.903529,99.50,Giza,35
8160.0,2010530.404,4844593.710,4719436.696,3208.543,4012.556,-5483.607,-0.409225,0.716219,-0.102322,0.359282,-0.232919,-0.903695,99.50,Giza,35
8161.0,2013727.744,4848579.059,4713925.981,3206.248,4007.046,-5488.935,-0.409326,0.716855,-0.103157,0.357638,-0.234818,-0.903856,99.50,Giza,35
8162.0,2016925.084,4852564.408,4708415.266,3203.953,4001.537,-5494.264,-0.409426,0.717492,-0.103991,0.355991,-0.236716,-0.904011,99.50,Giza,35
8163.0,2020122.423,4856549.756,4702904.552,3201.658,3996.027,-5499.592,-0.409527,0.718129,-0.104825,0.354342,-0.238612,-0.904160,99.50,Giza,35
8164.0,2023319.763,4860535.105,4697393.837,3199.362,3990.517,-5504.920,-0.409628,0.718766,-0.105659,0.352690,-0.240507,-0.904304,99.50,Giza,35
8165.0,2026517.103,4864520.454,4691883.122,3197.067,3985.008,-5510.248,-0.409729,0.719403,-0.106494,0.351037,-0.242400,-0.904442,99.50,Giza,35
8166.0,2029714.443,4868505.803,4686372.407,3194.772,3979.498,-5515.576,-0.409829,0.720040,-0.107328,0.349381,-0.244292,-0.904574,99.50,Giza,35
8167.0,2032911.783,4872491.152,4680861.692,3192.477,3973.989,-5520.904,-0.409930,0.720677,-0.108162,0.347723,-0.246183,-0.904700,99.50,Giza,35
8168.0,2036109.123,4876476.501,4675350.978,3190.182,3968.479,-5526.232,-0.410031,0.721314,-0.108996,0.346063,-0.248071,-0.904821,99.50,Giza,35
8169.0,2039306.463,4880461.850,4669840.263,3187.887,3962.969,-5531.561,-0.410132,0.721950,-0.109831,0.344400,-0.249958,-0.904936,99.50,Giza,35
8170.0,2042503.803,4884447.199,4664329.548,3185.592,3957.460,-5536.889,-0.410232,0.722587,-0.110665,0.342736,-0.251844,-0.905045,99.50,Giza,35
8171.0,2045701.143,4888432.548,4658818.833,3183.296,3951.950,-5542.217,-0.410333,0.723224,-0.111499,0.341069,-0.253727,-0.905149,99.50,Giza,35
8172.0,2048898.483,4892417.897,4653308.119,3181.001,3946.441,-5547.545,-0.410434,0.723861,-0.112333,0.339401,-0.255609,-0.905246,99.50,Giza,35
8173.0,2052095.823,4896403.246,4647797.404,3178.706,3940.931,-5552.873,-0.410535,0.724498,-0.113168,0.337730,-0.257489,-0.905338,99.50,Giza,35
8174.0,2055293.163,4900388.595,4642286.689,3176.411,3935.421,-5558.201,-0.410635,0.725135,-0.114002,0.336058,-0.259368,-0.905425,99.50,Giza,35
8175.0,2058490.503,4904373.944,4636775.974,3174.116,3929.912,-5563.529,-0.410736,0.725772,-0.114836,0.334383,-0.261244,-0.905505,99.50,Giza,35
8176.0,2061687.843,4908359.293,4631265.259,3171.821,3924.402,-5568.858,-0.410837,0.726409,-0.115670,0.332707,-0.263118,-0.905580,99.50,Giza,35
8177.0,2064885.183,4912344.642,4625754.545,3169.526,3918.892,-5574.186,-0.410938,0.727046,-0.116505,0.331029,-0.264991,-0.905649,99.50,Giza,35
8178.0,2068082.523,4916329.991,4620243.830,3167.230,3913.383,-5579.514,-0.411038,0.727682,-0.117339,0.329349,-0.266862,-0.905712,99.50,Giza,35
8179.0,2071279.863,4920315.340,4614733.115,3164.935,3907.873,-5584.842,-0.411139,0.728319,-0.118173,0.327667,-0.268730,-0.905770,99.50,Giza,35
8180.0,2074477.203,4924300.689,4609222.400,3162.640,3902.364,-5590.170,-0.411240,0.728956,-0.119007,0.325983,-0.270597,-0.905821,99.50,Giza,35
8181.0,2077604.064,4928118.731,4603554.670,3160.237,3896.720,-5595.309,-0.411334,0.729707,-0.120082,0.323972,-0.272895,-0.905853,99.50,Giza,35
8182.0,2080730.926,4931936.773,4597886.939,3157.834,3891.077,-5600.447,-0.411427,0.730459,-0.121156,0.321958,-0.275191,-0.905877,99.50,Giza,35
8183.0,2083857.787,4935754.815,4592219.208,3155.431,3885.434,-5605.586,-0.411521,0.731210,-0.122230,0.319939,-0.277486,-0.905892,99.50,Giza,35
8184.0,2086984.648,4939572.857,4586551.477,3153.028,3879.791,-5610.725,-0.411615,0.731961,-0.123304,0.317918,-0.279778,-0.905899,99.50,Giza,35
8185.0,2090111.510,4943390.899,4580883.747,3150.625,3874.147,-5615.863,-0.411709,0.732712,-0.124378,0.315893,-0.282068,-0.905897,99.50,Giza,35
8186.0,2093238.371,4947208.941,4575216.016,3148.222,3868.504,-5621.002,-0.411803,0.733463,-0.125453,0.313865,-0.284356,-0.905887,99.50,Giza,35
8187.0,2096365.233,4951026.983,4569548.285,3145.819,3862.861,-5626.141,-0.411897,0.734214,-0.126527,0.311833,-0.286641,-0.905868,99.50,Giza,35
8188.0,2099492.094,4954845.025,4563880.554,3143.416,3857.218,-5631.280,-0.411990,0.734966,-0.127601,0.309798,-0.288924,-0.905841,99.50,Giza,35
8189.0,2102618.956,4958663.067,4558212.824,3141.013,3851.574,-5636.418,-0.412084,0.735717,-0.128675,0.307761,-0.291205,-0.905805,99.50,Giza,35
8190.0,2105745.817,4962481.109,4552545.093,3138.610,3845.931,-5641.557,-0.412178,0.736468,-0.129749,0.305720,-0.293484,-0.905761,99.50,Giza,35
8191.0,2108872.679,4966299.151,4546877.362,3136.207,3840.288,-5646.696,-0.412272,0.737219,-0.130824,0.303676,-0.295759,-0.905708,99.50,Giza,35
8192.0,2111999.540,4970117.193,4541209.631,3133.804,3834.645,-5651.834,-0.412366,0.737970,-0.131898,0.301628,-0.298033,-0.905647,99.50,Giza,35
8193.0,2115126.402,4973935.235,4535541.901,3131.401,3829.002,-5656.973,-0.412460,0.738721,-0.132972,0.299578,-0.300303,-0.905578,99.50,Giza,35
8194.0,2118253.263,4977753.277,4529874.170,3128.998,3823.358,-5662.112,-0.412554,0.739473,-0.134046,0.297526,-0.302571,-0.905500,99.50,Giza,35
8195.0,2121380.124,4981571.319,4524206.439,3126.595,3817.715,-5667.250,-0.412647,0.740224,-0.135120,0.295470,-0.304836,-0.905413,99.50,Giza,35
8196.0,2124506.986,4985389.361,4518538.709,3124.192,3812.072,-5672.389,-0.412741,0.740975,-0.136195,0.293411,-0.307098,-0.905318,99.50,Giza,35
8197.0,2127633.847,4989207.403,4512870.978,3121.789,3806.429,-5677.528,-0.412835,0.741726,-0.137269,0.291350,-0.309357,-0.905214,99.50,Giza,35
8198.0,2130760.709,4993025.445,4507203.247,3119.386,3800.785,-5682.666,-0.412929,0.742477,-0.138343,0.289286,-0.311614,-0.905102,99.50,Giza,35
8199.0,2133887.570,4996843.487,4501535.516,3116.983,3795.142,-5687.805,-0.413023,0.743228,-0.139417,0.287220,-0.313867,-0.904982,99.50,Giza,35
8200.0,2137014.432,5000661.530,4495867.786,3114.580,3789.499,-5692.944,-0.413117,0.743980,-0.140492,0.285151,-0.316117,-0.904853,99.50,Giza,35
8201.0,2140141.293,5004479.572,4490200.055,3112.176,3783.856,-5698.082,-0.413210,0.744731,-0.141566,0.283080,-0.318364,-0.904716,99.50,Giza,35
8202.0,2143268.155,5008297.614,4484532.324,3109.773,3778.212,-5703.221,-0.413304,0.745482,-0.142640,0.281006,-0.320608,-0.904570,99.50,Giza,35
8203.0,2146395.016,5012115.656,4478864.593,3107.370,3772.569,-5708.360,-0.413398,0.746233,-0.143714,0.278929,-0.322848,-0.904416,99.50,Giza,35
8204.0,2149521.878,5015933.698,4473196.863,3104.967,3766.926,-5713.498,-0.413492,0.746984,-0.144788,0.276851,-0.325085,-0.904253,99.50,Giza,35
8205.0,2152648.739,5019751.740,4467529.132,3102.564,3761.283,-5718.637,-0.413586,0.747735,-0.145863,0.274770,-0.327319,-0.904082,99.50,Giza,35
8206.0,2155775.601,5023569.782,4461861.401,3100.161,3755.639,-5723.776,-0.413680,0.748487,-0.146937,0.272687,-0.329549,-0.903902,99.50,Giza,35
8207.0,2158902.462,5027387.824,4456193.670,3097.758,3749.996,-5728.915,-0.413773,0.749238,-0.148011,0.270602,-0.331775,-0.903714,99.50,Giza,35
8208.0,2162029.323,5031205.866,4450525.940,3095.355,3744.353,-5734.053,-0.413867,0.749989,-0.149085,0.268515,-0.333999,-0.903518,99.50,Giza,35
8209.0,2165156.185,5035023.908,4444858.209,3092.952,3738.710,-5739.192,-0.413961,0.750740,-0.150159,0.266426,-0.336218,-0.903313,99.50,Giza,35
8210.0,2168283.046,5038841.950,4439190.478,3090.549,3733.066,-5744.331,-0.414055,0.751491,-0.151234,0.264335,-0.338434,-0.903100,99.50,Giza,35
8210.0,2168283.046,5038841.950,4439190.478,3090.549,3733.066,-5744.331,-0.414055,0.751491,-0.151234,0.264335,-0.338434,-0.903100,99.50,Giza,35
8211.0,2171336.228,5042488.762,4433371.496,3088.041,3727.295,-5749.274,-0.414129,0.752391,-0.152661,0.261774,-0.341228,-0.902795,99.50,Giza,35
8212.0,2174389.410,5046135.573,4427552.514,3085.532,3721.524,-5754.218,-0.414204,0.753291,-0.154088,0.259207,-0.344018,-0.902476,99.50,Giza,35
8213.0,2177442.593,5049782.385,4421733.531,3083.024,3715.753,-5759.162,-0.414278,0.754191,-0.155516,0.256636,-0.346805,-0.902144,99.50,Giza,35
8214.0,2180495.775,5053429.197,4415914.549,3080.515,3709.982,-5764.106,-0.414353,0.755092,-0.156943,0.254061,-0.349588,-0.901799,99.50,Giza,35
8215.0,2183548.957,5057076.009,4410095.567,3078.007,3704.211,-5769.050,-0.414427,0.755992,-0.158370,0.251481,-0.352366,-0.901441,99.50,Giza,35
8216.0,2186602.139,5060722.820,4404276.584,3075.498,3698.440,-5773.994,-0.414501,0.756892,-0.159798,0.248896,-0.355140,-0.901069,99.50,Giza,35
8217.0,2189655.321,5064369.632,4398457.602,3072.990,3692.668,-5778.938,-0.414576,0.757792,-0.161225,0.246308,-0.357910,-0.900685,99.50,Giza,35
8218.0,2192708.503,5068016.444,4392638.620,3070.481,3686.897,-5783.882,-0.414650,0.758692,-0.162652,0.243715,-0.360675,-0.900287,99.50,Giza,35
8219.0,2195761.685,5071663.256,4386819.637,3067.973,3681.126,-5788.826,-0.414724,0.759592,-0.164080,0.241118,-0.363435,-0.899876,99.50,Giza,35
8220.0,2198814.867,5075310.068,4381000.655,3065.464,3675.355,-5793.769,-0.414799,0.760492,-0.165507,0.238517,-0.366191,-0.899452,99.50,Giza,35
8221.0,2201868.049,5078956.879,4375181.672,3062.956,3669.584,-5798.713,-0.414873,0.761392,-0.166935,0.235912,-0.368941,-0.899015,99.50,Giza,35
8222.0,2204921.231,5082603.691,4369362.690,3060.447,3663.813,-5803.657,-0.414948,0.762292,-0.168362,0.233303,-0.371687,-0.898565,99.50,Giza,35
8223.0,2207974.413,5086250.503,4363543.708,3057.939,3658.042,-5808.601,-0.415022,0.763192,-0.169789,0.230691,-0.374427,-0.898101,99.50,Giza,35
8224.0,2211027.595,5089897.315,4357724.725,3055.430,3652.270,-5813.545,-0.415096,0.764092,-0.171217,0.228075,-0.377163,-0.897625,99.50,Giza,35
8225.0,2214080.778,5093544.126,4351905.743,3052.921,3646.499,-5818.489,-0.415171,0.764992,-0.172644,0.225456,-0.379892,-0.897135,99.50,Giza,35
8226.0,2217133.960,5097190.938,4346086.761,3050.413,3640.728,-5823.433,-0.415245,0.765892,-0.174071,0.222834,-0.382617,-0.896632,99.49,Giza,35
8227.0,2220187.142,5100837.750,4340267.778,3047.904,3634.957,-5828.377,-0.415319,0.766792,-0.175499,0.220208,-0.385335,-0.896117,99.49,Giza,35
8228.0,2223240.324,5104484.562,4334448.796,3045.396,3629.186,-5833.320,-0.415394,0.767693,-0.176926,0.217580,-0.388048,-0.895588,99.49,Giza,35
8229.0,2226293.506,5108131.373,4328629.814,3042.887,3623.415,-5838.264,-0.415468,0.768593,-0.178353,0.214948,-0.390755,-0.895046,99.49,Giza,35
8230.0,2229346.688,5111778.185,4322810.831,3040.379,3617.644,-5843.208,-0.415543,0.769493,-0.179781,0.212314,-0.393456,-0.894492,99.49,Giza,35
8231.0,2232399.870,5115424.997,4316991.849,3037.870,3611.872,-5848.152,-0.415617,0.770393,-0.181208,0.209677,-0.396151,-0.893924,99.49,Giza,35
8232.0,2235453.052,5119071.809,4311172.867,3035.362,3606.101,-5853.096,-0.415691,0.771293,-0.182635,0.207037,-0.398839,-0.893344,99.49,Giza,35
8233.0,2238506.234,5122718.621,4305353.884,3032.853,3600.330,-5858.040,-0.415766,0.772193,-0.184063,0.204395,-0.401522,-0.892750,99.49,Giza,35
8234.0,2241559.416,5126365.432,4299534.902,3030.345,3594.559,-5862.984,-0.415840,0.773093,-0.185490,0.201751,-0.404197,-0.892144,99.49,Giza,35
8235.0,2244612.598,5130012.244,4293715.920,3027.836,3588.788,-5867.928,-0.415914,0.773993,-0.186917,0.199104,-0.406867,-0.891525,99.49,Giza,35
8236.0,2247665.780,5133659.056,4287896.937,3025.328,3583.017,-5872.872,-0.415989,0.774893,-0.188345,0.196455,-0.409529,-0.890893,99.49,Giza,35
