time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,sigma0,sigma1,sigma2,cx,cy,cz,battery_pct,action_name,action_idx
33.0,-3559938.730,-6096157.830,245349.746,-783.693,758.028,7431.859,0.248153,0.010048,0.181312,0.416237,-0.691477,0.590429,99.99,DRIFT,48
34.0,-3560673.992,-6095317.032,252777.679,-779.652,764.919,7431.479,0.239552,0.008056,0.175038,0.400134,-0.678851,0.615673,99.99,DRIFT,48
35.0,-3561409.255,-6094476.235,260205.613,-775.611,771.811,7431.099,0.230950,0.006064,0.168765,0.383127,-0.665115,0.640964,99.99,DRIFT,48
36.0,-3562144.517,-6093635.437,267633.546,-771.570,778.702,7430.719,0.222348,0.004073,0.162491,0.365220,-0.650237,0.666187,99.99,DRIFT,48
37.0,-3562879.779,-6092794.640,275061.480,-767.529,785.594,7430.340,0.213747,0.002081,0.156217,0.346424,-0.634197,0.691220,99.99,DRIFT,48
38.0,-3563615.042,-6091953.843,282489.413,-763.487,792.485,7429.960,0.205145,0.000089,0.149944,0.326762,-0.616986,0.715930,99.99,DRIFT,48
39.0,-3564350.304,-6091113.045,289917.347,-759.446,799.377,7429.580,0.196543,-0.001902,0.143670,0.306271,-0.598607,0.740181,99.99,DRIFT,48
40.0,-3565085.567,-6090272.248,297345.280,-755.405,806.268,7429.200,0.187942,-0.003894,0.137396,0.284999,-0.579080,0.763833,99.99,DRIFT,48
41.0,-3565820.829,-6089431.450,304773.214,-751.364,813.160,7428.820,0.179340,-0.005886,0.131123,0.263007,-0.558440,0.786748,99.99,DRIFT,48
42.0,-3566556.091,-6088590.653,312201.147,-747.323,820.051,7428.440,0.170738,-0.007878,0.124849,0.240367,-0.536737,0.808787,99.99,DRIFT,48
43.0,-3567291.354,-6087749.856,319629.081,-743.282,826.943,7428.061,0.162137,-0.009869,0.118576,0.217165,-0.514038,0.829822,99.99,DRIFT,48
44.0,-3568026.616,-6086909.058,327057.014,-739.241,833.834,7427.681,0.153535,-0.011861,0.112302,0.193493,-0.490426,0.849731,99.99,DRIFT,48
45.0,-3568761.879,-6086068.261,334484.948,-735.200,840.726,7427.301,0.144933,-0.013853,0.106028,0.169455,-0.465995,0.868408,99.99,DRIFT,48
46.0,-3569497.141,-6085227.463,341912.881,-731.159,847.617,7426.921,0.136332,-0.015844,0.099755,0.145159,-0.440855,0.885763,99.99,DRIFT,48
47.0,-3570232.403,-6084386.666,349340.815,-727.118,854.509,7426.541,0.127730,-0.017836,0.093481,0.120717,-0.415122,0.901721,99.99,DRIFT,48
48.0,-3570967.666,-6083545.869,356768.748,-723.077,861.400,7426.162,0.119128,-0.019828,0.087207,0.096241,-0.388922,0.916230,99.99,DRIFT,48
49.0,-3571702.928,-6082705.071,364196.682,-719.036,868.292,7425.782,0.110527,-0.021819,0.080934,0.071842,-0.362383,0.929256,99.99,DRIFT,48
50.0,-3572438.190,-6081864.274,371624.615,-714.995,875.183,7425.402,0.101925,-0.023811,0.074660,0.047628,-0.335634,0.940788,99.99,DRIFT,48
51.0,-3573173.453,-6081023.476,379052.549,-710.954,882.075,7425.022,0.093323,-0.025803,0.068386,0.023701,-0.308804,0.950830,99.99,DRIFT,48
52.0,-3573908.715,-6080182.679,386480.482,-706.913,888.966,7424.642,0.084722,-0.027795,0.062113,0.000152,-0.282016,0.959410,99.99,DRIFT,48
53.0,-3574643.978,-6079341.882,393908.416,-702.871,895.858,7424.263,0.076120,-0.029786,0.055839,-0.022935,-0.255385,0.966567,99.99,DRIFT,48
54.0,-3575379.240,-6078501.084,401336.349,-698.830,902.749,7423.883,0.067519,-0.031778,0.049565,-0.045486,-0.229020,0.972358,99.99,DRIFT,48
55.0,-3576114.502,-6077660.287,408764.283,-694.789,909.641,7423.503,0.058917,-0.033770,0.043292,-0.067438,-0.203018,0.976850,99.99,DRIFT,48
56.0,-3576849.765,-6076819.489,416192.216,-690.748,916.532,7423.123,0.050315,-0.035761,0.037018,-0.088742,-0.177464,0.980118,99.99,DRIFT,48
57.0,-3577585.027,-6075978.692,423620.150,-686.707,923.424,7422.743,0.041714,-0.037753,0.030744,-0.109356,-0.152433,0.982245,99.99,DRIFT,48
58.0,-3578320.289,-6075137.894,431048.083,-682.666,930.315,7422.364,0.033112,-0.039745,0.024471,-0.129251,-0.127987,0.983318,99.99,DRIFT,48
59.0,-3579055.552,-6074297.097,438476.017,-678.625,937.207,7421.984,0.024510,-0.041736,0.018197,-0.148406,-0.104178,0.983424,99.99,DRIFT,48
60.0,-3579790.814,-6073456.300,445903.951,-674.584,944.098,7421.604,0.015909,-0.043728,0.011923,-0.166810,-0.081046,0.982652,99.99,DRIFT,48
61.0,-3580404.491,-6072409.222,453316.697,-670.520,950.958,7420.971,0.016468,-0.040277,0.013295,-0.153212,-0.081353,0.984839,99.99,DRIFT,48
62.0,-3581018.168,-6071362.144,460729.444,-666.456,957.817,7420.339,0.017028,-0.036826,0.014666,-0.139509,-0.081645,0.986849,99.99,DRIFT,48
63.0,-3581631.845,-6070315.066,468142.191,-662.392,964.676,7419.706,0.017588,-0.033375,0.016038,-0.125707,-0.081923,0.988679,99.99,DRIFT,48
64.0,-3582245.522,-6069267.988,475554.938,-658.328,971.536,7419.074,0.018148,-0.029924,0.017409,-0.111814,-0.082187,0.990325,99.99,DRIFT,48
65.0,-3582859.199,-6068220.910,482967.685,-654.264,978.395,7418.441,0.018708,-0.026473,0.018780,-0.097837,-0.082436,0.991782,99.99,DRIFT,48
66.0,-3583472.876,-6067173.833,490380.432,-650.200,985.254,7417.809,0.019268,-0.023022,0.020152,-0.083784,-0.082669,0.993049,99.99,DRIFT,48
67.0,-3584086.553,-6066126.755,497793.179,-646.136,992.114,7417.176,0.019828,-0.019571,0.021523,-0.069663,-0.082886,0.994121,99.99,DRIFT,48
68.0,-3584700.230,-6065079.677,505205.926,-642.073,998.973,7416.544,0.020388,-0.016120,0.022894,-0.055482,-0.083088,0.994997,99.99,DRIFT,48
69.0,-3585313.907,-6064032.599,512618.673,-638.009,1005.833,7415.911,0.020947,-0.012669,0.024266,-0.041249,-0.083273,0.995673,99.99,DRIFT,48
70.0,-3585927.584,-6062985.521,520031.420,-633.945,1012.692,7415.279,0.021507,-0.009218,0.025637,-0.026972,-0.083442,0.996148,99.99,DRIFT,48
71.0,-3586541.261,-6061938.443,527444.167,-629.881,1019.551,7414.646,0.022067,-0.005767,0.027008,-0.012660,-0.083593,0.996420,99.99,DRIFT,48
